date,direction,correspondent,repository,first_line,section
,,,,,
1803,,,,,[year marker]
[c 1803],from,Thomas Twining,Osb,[?] draft 2 p bro,CB
14 Jan [1803],to,Fanny Burney,Osb,[?],CB
[c Feb],from,Thomas Twining,Osb,[?],CB
[c Mar 1803],from,William Bewley,Osb,[?],CB
[c Apr],to,Fanny Burney,Osb,[?] 4 p bro,CB
28 Aug [1803],from,Thomas Twining,Osb,[?] Compy to yr Fox,CB
[c Sep],to,Mrs Crewe,Osb,[?] draft [?],CB
[c Oct 1803],from,Thomas Twining,Osb,[?],CB
[Nov 1803],to,Fanny Burney,Osb,[?] 3 p bro Compy,CB
5 Nov [1803],from,Thomas Twining,Osb,[?] 3 p bro [?],CB
23 Nov,from,Thomas Twining,Osb,[?],CB
[c Dec],to,Mrs Crewe,Osb,[?] Str[?] [?],CB
[c 1803],from,Mrs Crewe,Osb,[?] her ingredients,CB
[c 1803],from,Thomas Twining,Osb,[?] 3 p bro,CB
,,,,,
,,,,,[p. 48]
[1803 continued],from,Thomas Twining,Osb,[?],CB
[c 1804],to,Fanny Burney,Osb,[?] 2 p 4to,CB
14 Jan [1804],to,Fanny Burney,Osb,[?] 1 p bro [?],CB
[c Feb 1804],from,Thomas Twining,Osb,[?],CB
[c Mar],to,Mrs Crewe,Osb,[?] 2 p bro,CB
[c Apr 1804],from,Thomas Twining,Osb,[?],CB
[c May],from,William Bewley,Osb,[?],CB
29 Jun [1804],from,Thomas Twining,Osb,[?] draft [?] appeared to be [?],CB
[c Jul],to,Fanny Burney,Osb,[?] 1 p bro,CB
[c Aug 1804],from,Thomas Twining,Osb,[?],CB
13 Oct,to,Fanny Burney,Osb,[?],CB
[c Nov 1804],from,Thomas Twining,Osb,[?],CB
20 Nov,from,Thomas Twining,Osb,[?] wished [?],CB
[c Dec],to,Mrs Crewe,Osb,[?] Compy [?] an [?],CB
[c 1804],from,William Bewley,Osb,[?] 1 p 4to,CB
,,,,,
,,,,,[p. 49]
[post 1804],from,Thomas Twining,Osb,[?] 1 p 4to,CB
[c 1805],to,Fanny Burney,Osb,[?] [?] Wriggle[?],CB
,,,,,
1805,,,,,[year marker]
[c 1805],from,Thomas Twining,Osb,[?],CB
[c Jan],to,Fanny Burney,Osb,[?],CB
[c Feb 1805],from,Thomas Twining,Osb,[?] 1 p do,CB
[c Mar],to,Mrs Crewe,Osb,[?] draft [?] yr poor [?] hand,CB
25 Mar [1805],from,Thomas Twining,Osb,[?],CB
[c Apr],from,William Bewley,Osb,[?] Coke [?] look at a newspaper for,CB
12 May,to,Fanny Burney,Osb,[?],CB
[c Jun],from,Thomas Twining,Osb,[?] Charles [?] I call [?],CB
20 Jul,to,Fanny Burney,Osb,[?],CB
[c Aug 1805],from,Thomas Twining,Osb,[?],CB
[c Sep],from,William Bewley,Osb,[?] KJ,CB
[c Oct],from,Thomas Twining,Osb,[?] 1 p do,CB
10 Mar [1806],to,Fanny Burney,Osb,[?] Compy,CB
[1805],to,Mrs Crewe,BM,[?],CB
28 Mar [1806],from,Thomas Twining,Osb,[?],CB
[c 1806],from,Thomas Twining,NYPL(B),[?] Cutter[?] [?],CB
[c May],to,Fanny Burney,Osb,[?] Compy,CB
[c Jun 1806],from,Thomas Twining,Osb,[?],CB
[c Jul],from,William Bewley,Osb,[?],CB
8 May,from,Thomas Twining,Osb,[?] I long for [?] Daughter's health [?],CB
30 Aug [1806],from,Thomas Twining,Osb,[?],CB
[c Sep],to,Mrs Crewe,Osb,[?],CB
[c Oct 1806],from,Thomas Twining,Osb,[?] Compy,CB
25 Oct,from,Thomas Twining,Osb,[?] pnk 1805 [?],CB
[c Nov],to,Fanny Burney,Osb,[?],CB
[c Dec 1806],from,Thomas Twining,Osb,[?],CB
,,,,,
,,,,,[p. 50]
1806,,,,,[year marker]
[c Jan 1806],to,Fanny Burney,Osb,[?],CB
[c Feb],from,Thomas Twining,Osb,[?] draft [?],CB
17 Feb [1806],to,Mrs Crewe,Osb,[?],CB
[1806-08],from,Thomas Twining,Osb,[?],CB
[c Mar],to,Fanny Burney,Osb,[?],CB
[c Apr 1806],from,Thomas Twining,Osb,[?] it makes [?] to [?],CB
[c May],from,William Bewley,Osb,[?] I please [?] of being [?],CB
[c Jun],from,Thomas Twining,Osb,[?] Compy,CB
[c Jul 1806],to,Fanny Burney,Osb,[?],CB
[c Aug],from,Thomas Twining,Osb,[?] Oxf(Bod),CB
[c Sep],from,Thomas Twining,Osb,[?] Compy Oxf(Bod),CB
[c Oct 1806],to,Mrs Crewe,Osb,[?],CB
15 Oct,from,Thomas Twining,Osb,[?],CB
[c Nov],from,William Bewley,Osb,[?],CB
[c Dec 1806],to,Fanny Burney,Osb,[?],CB
12 Dec,from,Thomas Twining,Osb,[?] [?] the night [?] understanding of [?],CB
,,,,,
,,,,,[p. 51]
1807,,,,,[year marker]
[c Jan 1807],to,Fanny Burney,Osb,[?] draft [?] some tower [?],CB
17 Jan [1807],from,Thomas Twining,Osb,[?] Lady [?] Court,CB
[c Feb],from,Thomas Twining,Osb,[?] Compy Oxf(Bod),CB
[c Mar 1807],to,Mrs Crewe,Osb,[?],CB
[c Apr],from,Thomas Twining,Osb,[?] draft [?] 1 p bro,CB
[c May],from,William Bewley,Osb,[?],CB
13 Jun [1807],to,Fanny Burney,Osb,[?],CB
[c Jul],from,Thomas Twining,Osb,[?] I have [?] the night [?] house got,CB
[c Aug 1807],from,Thomas Twining,Osb,[?],CB
[c Sep],to,Mrs Crewe,Osb,[?] 1 p [?] Conip[?],CB
[c Oct],from,Thomas Twining,Osb,[?],CB
[c Nov 1807],to,Fanny Burney,Osb,[?] draft [?] Cul(B),CB
[Dec 1807],from,Thomas Twining,Osb,[?],CB
,,,,,
,,,,,[p. 52]
[1807 continued],to,Mrs Crewe,Osb,[?],CB
[c 1807],from,Thomas Twining,Osb,[?] 3 p 4to,CB
7 Jul [1807],from,Charles Burney [CB Jr],Osb,[?] draft [?] 1st Lord [?] reading,CB
28 Jul [1807],to,Fanny Burney,Osb,[?] Pryce,CB
[c Aug],from,Thomas Twining,Osb,[?],CB
[c Sep 1807],from,Charles Haines [?],Osb,[?],CB
[1807],from,Thomas Twining,Osb,[?] Charlotte [?] Burney & [?] Broome,CB
[c Oct],to,Fanny Burney,Osb,[?],CB
30 Nov [1807],from,Thomas Twining,Osb,[?] Ob [?],CB
,,,,,
[post 1807],,,,,[?],CB
[c 1807],from,Thomas Twining,Osb,[?] draft 1 p bro [?],CB
[c 1807],from,[?] Parsons [Phillips?],Osb,[?] from Parsons [?],CB
20 Jun [1807],from,Thomas Twining,Osb,[?],CB
[c 1807],to,Fanny Burney,Osb,[?] Pr[?] College [?] Bap[?] to [?] Broome,CB
[c Aug],from,Thomas Twining,Osb,[?],CB
[c Sep 1807],to,Mrs Crewe,Osb,[?] Make [?] Compy [?],CB
15 Nov [1807],from,Thomas Twining,Osb,[?] the [?] Lord[?],CB
[c Dec],from,William Bewley,Osb,[?],CB
[c 1807],to,Fanny Burney,Osb,[?] 5 p 4to,CB
,,,,,
,,,,,[p. 53]
[1807 continued],to,Fanny Burney,Osb,[?] 2 p bro,CB
[c 1807],from,Thomas Twining,Osb,[?] CB [?] Jr,CB
[c 1807],to,Mrs Crewe,Osb,[?],CB
[c 1807],from,Thomas Twining,Osb,[?] Folger,CB
,,,,,
,,,,,[p. 54]
[1807 continued],to,Fanny Burney,Osb,[?],CB
[c 1807],from,Thomas Twining,NYPL(B),[?],CB
[c 1807],from,[?] Hanmer,Osb,[?] draft [?] of [?],CB
[1807],from,Thomas Twining,Osb,[?],CB
[c 1807],to,Fanny Burney,Osb,[?] 3 p 4to [?] Oxf(Bod),CB
[c 1807],from,Thomas Twining,Osb,[?],CB
[c 1807],to,Mrs Crewe,NYPL(B),[?] Compy,CB
