person_a_id,person_a_name,person_a_type,relationship,person_b_id,person_b_name,person_b_type,date,source
BS_WILDE_3,Joseph Wilde,bookseller,child_of,,Lichfield,unknown,,Plomer (1668-1725)
BS_CHURCHILL_3,Joshua Churchill,bookseller,child_of,BS_CHURCHILL,Awnsham Churchill,bookseller,,Plomer (1668-1725)
BS_DANIEL,M. Daniel,bookseller,widow_of,BS_DANIEL_2,Thomas Daniel,bookseller,,Plomer (1668-1725)
BS_NEWBOROUGH,M. Newborough,bookseller,widow_of,BS_NEWBOROUGH,M. Newborough,bookseller,,Plomer (1668-1725)
BS_COGGAN_2,Margaret Coggan,bookseller,widow_of,BS_COGGAN,Francis Coggan,bookseller,,Plomer (1668-1725)
BS_WIDDOWES_2,Margaret Widdowes,bookseller,widow_of,BS_WIDDOWES,Giles Widdowes,bookseller,,Plomer (1668-1725)
BS_CLARK_2,Mary Clark,bookseller,widow_of,BS_CLARK,Andrew Clark,bookseller,,Plomer (1668-1725)
BS_COOPER,Mary Cooper,bookseller,publisher_of,AUTHOR_DAVID,"Hume, David",author,1748,harris_hume_bibliography.csv
BS_FABIAN,Mary Fabian,bookseller,widow_of,BS_FABIAN_2,Thomas Fabian,bookseller,,Plomer (1668-1725)
BS_GARTHWAITE,Mary Garthwaite,bookseller,widow_of,BS_GARTHWAITE,Mary Garthwaite,bookseller,,Plomer (1668-1725)
BS_HOWELL,Mary Howell,bookseller,widow_of,,Thomas  Howkins,unknown,,Plomer (1668-1725)
BS_THOMPSON_2,Mary Thompson,bookseller,widow_of,BS_THOMPSON_3,Nathaniel Thompson,bookseller,,Plomer (1668-1725)
BS_WOTTON,Matthew Wotton,bookseller,succeeded_by,BS_THOMAS,John Thomas,bookseller,,Plomer (1668-1725)
BS_JOHNSON_4,Michael Johnson,bookseller,child_of,BS_JOHNSON_4,Michael Johnson,bookseller,,Plomer (1668-1725)
BS_JOHNSON_4,Michael Johnson,bookseller,sibling_of,,Benjamin,unknown,,Plomer (1668-1725)
BS_PITT,Moses Pitt,bookseller,apprentice_of,BS_LITTLEBURY,Robert Littlebury,bookseller,,Plomer (1668-1725)
BS_PITT,Moses Pitt,bookseller,child_of,BS_PITT,Moses Pitt,bookseller,,Plomer (1668-1725)
BS_CROUCH_2,Nathaniel Crouch,bookseller,child_of,BS_CROUCH_3,Samuel Crouch,bookseller,,Plomer (1668-1725)
BS_PONDER,Nathaniel Ponder,bookseller,apprentice_of,BS_GIBBS_2,Robert Gibbs,bookseller,,Plomer (1668-1725)
BS_PONDER,Nathaniel Ponder,bookseller,child_of,BS_PONDER,Nathaniel Ponder,bookseller,,Plomer (1668-1725)
BS_SMITH_8,Obediah Smith,bookseller,child_of,,Francis,unknown,,Plomer (1668-1725)
BS_FORRESTER_2,P. Forrester,bookseller,sibling_of,BS_FORRESTER_2,P. Forrester,bookseller,,Plomer (1668-1725)
BS_GWILLIM,Philip Gwillim,bookseller,child_of,BS_GWILLIM,Philip Gwillim,bookseller,,Plomer (1668-1725)
BS_CRUTTENDEN_2,R. Cruttenden,bookseller,sibling_of,BS_CRUTTENDEN,Henry Cruttenden,bookseller,,Plomer (1668-1725)
BS_FLEMING_ALISON,R. Fleming and A. Alison,bookseller,printer_of,AUTHOR_DAVID,"Hume, David",author,1741,harris_hume_bibliography.csv
BS_ROBINSON_3,Ranew Robinson,bookseller,child_of,BS_ROBINSON_2,Josiah Robinson,bookseller,,Plomer (1668-1725)
BS_ROBINSON_3,Ranew Robinson,bookseller,widow_of,BS_RANEW,Nathaniel Ranew,bookseller,,Plomer (1668-1725)
BS_BONWICKE_3,Rebecca Bonwicke,bookseller,widow_of,BS_BONWICKE,Henry Bonwicke,bookseller,,Plomer (1668-1725)
BS_FENNER_3,Rest Fenner,bookseller,child_of,BS_FENNER_2,Rest Fenner,bookseller,,Plomer (1668-1725)
BS_BURTON_2,Richard Burton,bookseller,spouse_of,,Joseph  Button,unknown,,Plomer (1668-1725)
BS_JANEWAY_2,Richard Janeway,bookseller,child_of,BS_JANEWAY,Richard Janeway,bookseller,,Plomer (1668-1725)
BS_THRALE_2,Richard Thrale,bookseller,succeeded_by,,Edmund  Jefl,unknown,,Plomer (1668-1725)
BS_TONSON_3,Richard Tonson,bookseller,sibling_of,BS_TONSON_3,Richard Tonson,bookseller,,Plomer (1668-1725)
BS_DODSLEY,Robert Dodsley,bookseller,publisher_of,AUTHOR_COOPER),"Shaftesbury, Third Earl of (Anthony Ashley Cooper)",author,1711,harris_hume_bibliography.csv
BS_DODSLEY,Robert Dodsley,bookseller,publisher_of,AUTHOR_EDMUND,"Burke, Edmund",author,1757,harris_hume_bibliography.csv
BS_DODSLEY,Robert Dodsley,bookseller,publisher_of,AUTHOR_SAMUEL,"Johnson, Samuel",author,1759,perry_novel_relations_bibliography.csv
BS_DODSLEY,Robert Dodsley,bookseller,publisher_of,AUTHOR_LAURENCE,"Sterne, Laurence",author,1759,perry_novel_relations_bibliography.csv
BS_DODSLEY,Robert Dodsley,bookseller,publisher_of,AUTHOR_OLIVER,"Goldsmith, Oliver",author,1766,white_bibliography_batch1.csv
BS_DODSLEY,Robert Dodsley,bookseller,publisher_of,AUTHOR_ARTHUR,"Young, Arthur",author,1768,white_bibliography_batch2.csv
BS_FLEMING,Robert Fleming,bookseller,widow_of,BS_FLETCHER,James Fletcher,bookseller,,Plomer (1668-1725)
BS_HARFORD,Robert Harford,bookseller,child_of,,Ralph,unknown,,Plomer (1668-1725)
BS_HARTLEY_3,Robert Hartley,bookseller,child_of,BS_HARTLEY,Hartley,bookseller,,Plomer (1668-1725)
BS_KNAPLOCK,Robert Knaplock,bookseller,child_of,,Hickes,unknown,,Plomer (1668-1725)
BS_NICHOLSON_2,Robert Nicholson,bookseller,child_of,BS_NICHOLSON_2,Robert Nicholson,bookseller,,Plomer (1668-1725)
BS_REDMAYNE,Samuel Redmayne,bookseller,child_of,BS_REDMAYNE_2,William Redmayne,bookseller,,Plomer (1668-1725)
BS_SIMMONS_2,Samuel Simmons,bookseller,child_of,BS_SIMMONS,B. Simmons,bookseller,,Plomer (1668-1725)
BS_MALTHUS,Sarah Malthus,bookseller,widow_of,BS_MALTHUS_2,Thomas Malthus,bookseller,,Plomer (1668-1725)
BS_NEVILL_2,Sarah Nevill,bookseller,widow_of,BS_NEVILL,Joseph Nevill,bookseller,,Plomer (1668-1725)
BS_PASSINGER,Sarah Passinger,bookseller,widow_of,BS_PASSINGER,Sarah Passinger,bookseller,,Plomer (1668-1725)
BS_SEDGWICK,Sedgwick,bookseller,succeeded_by,BS_BARBER,John Barber,bookseller,,Plomer (1668-1725)
BS_SEDGWICK,Sedgwick,bookseller,widow_of,BS_CLARK,Andrew Clark,bookseller,,Plomer (1668-1725)
BS_SHARPLESS,Sharpless,bookseller,widow_of,BS_HAREFINCH,John Harefinch,bookseller,,Plomer (1668-1725)
BS_SHARP,Sm  Joshua Sharp,bookseller,sibling_of,BS_SHARP,Sm  Joshua Sharp,bookseller,,Plomer (1668-1725)
BS_FORRESTER_3,Susanna Forrester,bookseller,widow_of,BS_FORRESTER,Andrew Forrester,bookseller,,Plomer (1668-1725)
BS_CADELL,Thomas Cadell I,bookseller,publisher_of,AUTHOR_EDMUND,"Burke, Edmund",author,1757,harris_hume_bibliography.csv
BS_CADELL,Thomas Cadell I,bookseller,publisher_of,AUTHOR_WILLIAM,"Robertson, William",author,1769,harris_hume_bibliography.csv
BS_CADELL,Thomas Cadell I,bookseller,publisher_of,AUTHOR_HESTER,"Chapone, Hester",author,1773,perry_novel_relations_bibliography.csv
BS_CADELL,Thomas Cadell I,bookseller,publisher_of,AUTHOR_EDWARD,"Gibbon, Edward",author,1776,harris_hume_bibliography.csv
BS_CADELL,Thomas Cadell I,bookseller,publisher_of,AUTHOR_ADAM,"Smith, Adam",author,1776,harris_hume_bibliography.csv
BS_CADELL,Thomas Cadell I,bookseller,publisher_of,AUTHOR_DAVID,"Hume, David",author,1777,harris_hume_bibliography.csv
BS_CADELL,Thomas Cadell I,bookseller,publisher_of,AUTHOR_FRANCES,"Burney, Frances",author,1778,perry_novel_relations_bibliography.csv
BS_CADELL,Thomas Cadell I,bookseller,publisher_of,AUTHOR_SAMUEL,"Johnson, Samuel",author,1781,harris_hume_bibliography.csv
BS_CADELL,Thomas Cadell I,bookseller,publisher_of,AUTHOR_CHARLOTTE,"Smith, Charlotte",author,1788,perry_novel_relations_bibliography.csv
BS_CADELL,Thomas Cadell I,bookseller,publisher_of,AUTHOR_ELIZABETH,"Inchbald, Elizabeth",author,1791,perry_novel_relations_bibliography.csv
BS_CADELL,Thomas Cadell I,bookseller,publisher_of,AUTHOR_ANN,"Radcliffe, Ann",author,1794,perry_novel_relations_bibliography.csv
BS_CADELL,Thomas Cadell I,bookseller,publisher_of,AUTHOR_PATRICK,"Colquhoun, Patrick",author,1796,almeroth_williams_bibliography.csv
BS_CADELL,Thomas Cadell I,bookseller,publisher_of,AUTHOR_HANNAH,"More, Hannah",author,1799,perry_novel_relations_bibliography.csv
BS_CADELL,Thomas Cadell I,bookseller,publisher_of,AUTHOR_PATRICKCOLQUHOUN,PatrickColquhoun,author,1800,sources_catalog.csv
BS_CORBETT_2,Thomas Corbett,bookseller,child_of,BS_CORBET,C Harles Corbet,bookseller,,Plomer (1668-1725)
BS_CROUCH_4,Thomas Crouch,bookseller,child_of,BS_CROUCH_3,Samuel Crouch,bookseller,,Plomer (1668-1725)
BS_DRING_2,Thomas Dring,bookseller,child_of,BS_DRING_2,Thomas Dring,bookseller,,Plomer (1668-1725)
BS_HARRISON_3,Thomas Harrison,bookseller,apprentice_of,BS_CROUCH_3,Samuel Crouch,bookseller,,Plomer (1668-1725)
BS_LONGMAN_2,Thomas Longman,bookseller,child_of,BS_LONGMAN_2,Thomas Longman,bookseller,,Plomer (1668-1725)
BS_LONGMAN,Thomas Longman I,bookseller,frequented,VENUE_LON046,Chapter Coffee House,venue,,General knowledge — Paternoster Row booksellers
BS_LONGMAN,Thomas Longman I,bookseller,publisher_of,AUTHOR_DAVID,"Hume, David",author,1740,harris_hume_bibliography.csv
BS_OSBORNE,Thomas Osborne,bookseller,succeeded_by,BS_THOMAS,John Thomas,bookseller,,Plomer (1668-1725)
BS_PASSINGER_2,Thomas Passinger,bookseller,nephew_of,BS_PASSINGER,Sarah Passinger,bookseller,,Plomer (1668-1725)
BS_SPEED_3,Thomas Speed,bookseller,sibling_of,BS_SPEED_3,Thomas Speed,bookseller,,Plomer (1668-1725)
BS_CHURCHILL_4,Vra^Ll Am Churchill,bookseller,child_of,BS_CHURCHILL_2,John Churchill,bookseller,,Plomer (1668-1725)
BS_BOTHAM,W. Botham,bookseller,widow_of,,Thomas  Underbill,unknown,,Plomer (1668-1725)
BS_BOWYER_2,William Bowyer,bookseller,child_of,BS_BOWYER_2,William Bowyer,bookseller,,Plomer (1668-1725)
BS_BOWYER_3,William Bowyer,bookseller,child_of,BS_BOWYER_2,William Bowyer,bookseller,,Plomer (1668-1725)
BS_BOWYER_2,William Bowyer,bookseller,widow_of,BS_ALLPORT,Benjamin Allport,bookseller,,Plomer (1668-1725)
BS_CLARKE_7,William Clarke,bookseller,child_of,BS_CLARKE,J. Clarke,bookseller,,Plomer (1668-1725)
BS_COCKERAINE,William Cockeraine,bookseller,nephew_of,,Thomas  Cockerill,unknown,,Plomer (1668-1725)
BS_CROOKE_4,William Crooke,bookseller,child_of,BS_CROOKE,Andrew Crooke,bookseller,,Plomer (1668-1725)
BS_CROOKE_4,William Crooke,bookseller,succeeded_by,BS_CROOKE,Andrew Crooke,bookseller,,Plomer (1668-1725)
BS_EWREY,William Ewrey,bookseller,widow_of,BS_FLETCHER,James Fletcher,bookseller,,Plomer (1668-1725)
BS_KEBLE_2,William Keble,bookseller,child_of,BS_KEBLE,Samuel Keble,bookseller,,Plomer (1668-1725)
BS_LINDSEY,William Lindsey,bookseller,apprentice_of,,Thomas  Lingard,unknown,,Plomer (1668-1725)
BS_LINDSEY,William Lindsey,bookseller,child_of,BS_LINTOT,Joshua Lintot,bookseller,,Plomer (1668-1725)
BS_SAYWELL,William Saywell,bookseller,child_of,,John  Sa,unknown,,Plomer (1668-1725)
BS_STRAHAN,William Strahan,bookseller,printer_of,AUTHOR_SAMUEL,"Johnson, Samuel",author,1755,harris_hume_bibliography.csv
BS_STRAHAN,William Strahan,bookseller,printer_of,AUTHOR_WILLIAM,"Robertson, William",author,1759,harris_hume_bibliography.csv
BS_STRAHAN,William Strahan,bookseller,printer_of,AUTHOR_EDWARD,"Gibbon, Edward",author,1776,harris_hume_bibliography.csv
BS_STRAHAN,William Strahan,bookseller,printer_of,AUTHOR_ADAM,"Smith, Adam",author,1776,harris_hume_bibliography.csv
BS_TAYLOR_3,William Taylor,bookseller,child_of,BS_TAYLOR_2,Thomas Taylor,bookseller,,Plomer (1668-1725)
BS_WARTER,William Warter,bookseller,child_of,BS_WARTER,William Warter,bookseller,,Plomer (1668-1725)
