bookseller_id,name,sign,type,active_min,active_max,notes
BS_CROUCH_3,Samuel Crouch,at  the  Prince's  Arms,bookseller,1674,1711,Plomer (1668-1725); refs: Dunton; TC(1)
BS_CROUCH_4,Thomas Crouch,Bell  in  Patemoster  Row,bookseller,1697,1725,Plomer (1668-1725); son of Nathaniel  Crouch; refs: TC(1)
BS_CRUMP,John Crump,Three  Bibles,bookseller,1673,1682,Plomer (1668-1725); refs: TC(1)
BS_CRUTTENDEN,Henry Cruttenden,,printer,1681,1694,Plomer (1668-1725)
BS_CRUTTENDEN_2,R. Cruttenden,Bible  and  Three  Crowns  near Mercers'  Chappel  in  Cheapside,bookseller,1718,1718,Plomer (1668-1725); brother of Henry Cruttenden
BS_CULLEN,John Cullen,,bookseller,1694,1710,Plomer (1668-1725)
BS_CUMBERLAND,Richard Cumberland,,bookseller,1693,1698,Plomer (1668-1725); refs: TC(1)
BS_CURLL,Edmund Curll,Peacock  without  Temple  Bar,bookseller,1675,1770,Plomer (1668-1725); refs: DNB; TC(1)
BS_CURTIS,Jane Curtis,,bookseller,1679,1679,Plomer (1668-1725); wife of Langly  Curtis
BS_CURTIS_2,Lang Ly Curtis,Sir  Edmonbury  Godfrey's  Head,bookseller,1668,1690,Plomer (1668-1725); refs: Nichols
BS_CUTLER,Robert Cutler,,bookseller,1641,1697,Plomer (1668-1725)
BS_DALTON,Isaac Dalton,,bookseller,1716,1718,Plomer (1668-1725)
BS_DANCER,Nathaniel Dancer,,bookseller,1700,1700,Plomer (1668-1725); refs: Dunton
BS_DANIEL,M. Daniel,,bookseller,1671,1675,Plomer (1668-1725); widow of Thomas Daniel
BS_DANIEL_2,Thomas Daniel,,printer,1669,1670,Plomer (1668-1725)
BS_DANVERS,Danvers,,stationer,1689,1689,Plomer (1668-1725)
BS_DARBY,John Darby,,printer,1641,1704,Plomer (1668-1725); succeeded by John; refs: Nichols; Dunton; Timperley
BS_DARBY_2,John Darby,,bookseller,1704,1733,Plomer (1668-1725); wife of Isaac  Clarke
BS_DARKER,Darker,,printer,1690,1690,Plomer (1668-1725); refs: Dunton
BS_DARKER_2,Samuel Darker,,bookseller,1698,1700,Plomer (1668-1725)
BS_DARKER_3,Samuel Darker,,bookseller,1700,1710,Plomer (1668-1725); refs: Nichols; Dunton
BS_DAVIES,T. Davies,,bookseller,1641,1681,Plomer (1668-1725)
BS_DAVIS,R. Davis,,bookseller,1709,1709,Plomer (1668-1725)
BS_DAVIS_2,Richard Davis,,bookseller,1641,1688,Plomer (1668-1725)
BS_DAVIS_3,T. Davis,Red  Lion  Street,bookseller,1698,1711,Plomer (1668-1725)
BS_DAVIS_4,Walter Davis,,bookseller,1676,1687,Plomer (1668-1725); refs: TC(1)
BS_DAVIS_5,William Davis,,bookseller,1699,1705,Plomer (1668-1725); refs: TC(1)
BS_DAWES,George Dawes,,bookseller,1641,1685,Plomer (1668-1725)
BS_DAWKS,Ichabod Dawks,,printer,1661,1730,Plomer (1668-1725); son of Thomas  Dawks; refs: DNB; Nichols; Timperley
BS_DAWKS_2,Thomas Dawks,,printer,1635,1670,Plomer (1668-1725)
BS_DAWKS_3,Thomas Dawks,Blue  Anchor,printer,1636,1696,Plomer (1668-1725); refs: DNB; Nichols; Timperley
BS_DEACON,B. Deacon,,bookseller,1699,1705,Plomer (1668-1725)
BS_DEACON_2,John Deacon,The  Angel  in  Giltspur  Street,bookseller,1682,1701,Plomer (1668-1725); refs: TC(1)
BS_DEACON_3,M. Deacon,Horse-shoe  in  Giltspur  Street,bookseller,1700,1700,Plomer (1668-1725)
BS_DEACON_4,S. Deacon,Angel  in  Giltspur  Street,bookseller,1700,1700,Plomer (1668-1725)
BS_DEAN,J. Dean,at  the  Queen's  Head,bookseller,1679,1685,Plomer (1668-1725)
BS_DEANE,Robert Deane,,bookseller,1686,1701,Plomer (1668-1725); refs: Dunton
BS_DEW,R. Dew,,bookseller,1682,1682,Plomer (1668-1725); refs: TC(1)
BS_DODD,Dodd,,printer,1720,1724,Plomer (1668-1725)
BS_DODD_2,A. Dodd,Peacock  without  Temple  Bar,bookseller,1714,1723,Plomer (1668-1725)
BS_DODGINS,Dodgins,,bookbinder,1700,1700,Plomer (1668-1725); refs: Dunton
BS_DOWLEY,Dowley,,bookbinder,1700,1700,Plomer (1668-1725); refs: Dunton
BS_DOWNES,George Downes,Three  Flower  de  Luces,bookseller,1676,1676,Plomer (1668-1725); refs: TC(1)
BS_DOWNING,Joseph Downing,,bookseller,1670,1724,Plomer (1668-1725)
BS_DOWNING_2,V^. Downing,,printer,1673,1673,Plomer (1668-1725)
BS_DOWNING_3,William Downing,,printer,1675,1720,Plomer (1668-1725); refs: Nichols
BS_DRANT,T. Drant,,bookseller,1675,1675,Plomer (1668-1725); refs: TC(1)
BS_DRAPER,Richard Draper,,bookseller,1680,1682,Plomer (1668-1725); refs: TC(1)
BS_DREW,Matthew Drew,,printer,1662,1675,Plomer (1668-1725)
BS_DRING,Daniel Dring,Harrow  and  Crown,bookseller,1695,1696,Plomer (1668-1725); son of Thomas  Dring
BS_DRING_2,Thomas Dring,Blue  Anchor,bookseller,1641,1695,Plomer (1668-1725); son of Thomas  Dring
BS_DRUMMOND,Drummond,,bookseller,1668,1668,Plomer (1668-1725)
BS_DRURY,Samuel Drury,Golden  Lion  and  Lamb,bookseller,1702,1703,Plomer (1668-1725)
BS_DUCHEMIN,Duchemin,,bookseller,1705,1705,Plomer (1668-1725)
BS_DUNMORE,John Dunmore,,bookseller,1641,1681,Plomer (1668-1725); refs: TC(1)
BS_DUNTON,John Dunton,,bookseller,1659,1733,Plomer (1668-1725); refs: Nichols; Dunton; TC(1)
BS_DYER,Dyer,Rose  in  Bread  Street,stationer,1700,1700,Plomer (1668-1725); refs: Dunton
BS_ECKELSTON,Edward Eckelston,Peacock,bookseller,1683,1683,Plomer (1668-1725)
BS_EDDOWES,S. Eddowes,Blue  Anchor,bookseller,1682,1693,Plomer (1668-1725); refs: TC(1)
BS_EDLIN,John Edlin,,bookseller,1719,1732,Plomer (1668-1725)
BS_EDLIN_2,Thomas Edlin,,bookseller,1721,1724,Plomer (1668-1725)
BS_EDWARDS,David Edwards,,bookseller,1694,1762,Plomer (1668-1725)
BS_EDWIN,Jonathan Edwin,Three  Roses,bookseller,1637,1686,Plomer (1668-1725); refs: TC(4)
BS_EGLESFIELD,Thomas Eglesfield,,bookseller,1641,1683,Plomer (1668-1725)
BS_ELLIS,Evan Ellis,,printer,1640,1722,Plomer (1668-1725)
BS_EVELEIGH,Robert Eveleigh,,bookseller,1668,1681,Plomer (1668-1725)
BS_EVERINGHAM,Robert Everingham,Seven  Stars,printer,1680,1699,Plomer (1668-1725); refs: Timperley
BS_EVERSDEN,George Eversden,,bookseller,1641,1641,Plomer (1668-1725)
BS_EVETS,Edward Evets,,bookseller,1683,1705,Plomer (1668-1725)
BS_EWREY,William Ewrey,Golden  Lyon  and  Lamb  over against  the  Middle  Temple  Gate  in  Fleet  Street,bookseller,1670,1696,Plomer (1668-1725); widow of James  Fletcher
BS_FABIAN,Mary Fabian,,bookseller,1698,1701,Plomer (1668-1725); widow of Thomas  Fabian
BS_FABIAN_2,Thomas Fabian,,bookseller,1676,1693,Plomer (1668-1725); refs: Dunton; TC(2)
BS_FAITHORNE,Henry Faithorne,Rose,bookseller,1681,1689,Plomer (1668-1725); refs: TC(1)
BS_FARY,Robert Fary,,bookseller,1713,1713,Plomer (1668-1725)
BS_FAWCET,Francis Fawcet,King's  Head  and  Crown,bookseller,1700,1701,Plomer (1668-1725)
BS_FAWKNER,J. Fawkner,,bookseller,1698,1698,Plomer (1668-1725)
BS_FAYRAM,F. Fayram,,bookseller,1721,1721,Plomer (1668-1725)
BS_FELTHAM,Anthony Feltham,,bookseller,1691,1693,Plomer (1668-1725); refs: Dunton
BS_FENNER,Enoch Fenner,,bookseller,1703,1729,Plomer (1668-1725); son of Rest  Fenner
BS_FENNER_2,Rest Fenner,,bookseller,1641,1714,Plomer (1668-1725); refs: TC(1)
BS_FENNER_3,Rest Fenner,,bookseller,1681,1711,Plomer (1668-1725); son of Rest  Fenner
BS_FIRTH,Isaac Firth,,stationer,1707,1707,Plomer (1668-1725)
BS_FISH,John Fish,,bookseller,1681,1703,Plomer (1668-1725)
BS_FISH_2,Wn.Li Am Fish,,stationer,1686,1686,Plomer (1668-1725)
BS_FISHER,William Fisher,,bookseller,1641,1690,Plomer (1668-1725); refs: TC(1)
BS_FLEMING,Robert Fleming,,bookseller,1670,1764,Plomer (1668-1725); widow of James  Fletcher
BS_FLETCHER,James Fletcher,,printer,1641,1652,Plomer (1668-1725)
BS_FLETCHER_2,Stephen Fletcher,,bookseller,1677,1721,Plomer (1668-1725); refs: TC(1)
BS_FORD,John Ford,,bookseller,1641,1673,Plomer (1668-1725); refs: TC(1)
BS_FORRESTER,Andrew Forrester,next  door  to the  Mitre  Tavern  in  King's  Street,bookseller,1676,1680,Plomer (1668-1725); refs: TC(1)
BS_FORRESTER_2,P. Forrester,,bookseller,1687,1687,Plomer (1668-1725); brother of Andrew  Forrester
BS_FORRESTER_3,Susanna Forrester,,bookseller,1685,1685,Plomer (1668-1725); widow of Andrew  Forrester
BS_FOSTER,Benjamin Foster,Three  Flower  de  Luces,bookseller,1672,1672,Plomer (1668-1725)
BS_FOSTER_2,John Foster,,printer,1697,1697,Plomer (1668-1725)
BS_FOSTER_3,Marmaduke Foster,,bookseller,1685,1685,Plomer (1668-1725)
BS_FOSTER_4,Stephen Foster,,bookseller,1641,1680,Plomer (1668-1725); refs: TC(1)
BS_FOX,Joseph Fox,Seven  Stars,bookseller,1686,1746,Plomer (1668-1725); refs: TC(1)
BS_FOX_2,Thomas Fox,White  Hart,bookseller,1679,1721,Plomer (1668-1725); refs: TC(3)
BS_FREEMAN,William Freeman,Bible,bookseller,1682,1690,Plomer (1668-1725); refs: Dunton; Timperley
BS_FRITH,John Frith,,bookseller,1682,1694,Plomer (1668-1725)
BS_FURDER,William Furder,,bookseller,1684,1684,Plomer (1668-1725)
BS_FYNDAL,Fyndal,,printer,1650,1716,Plomer (1668-1725)
BS_GARDINER,Gardiner,White  Horse,bookseller,1682,1724,Plomer (1668-1725); refs: Dunton
BS_GARRET,John Garret,,bookseller,1676,1679,Plomer (1668-1725); refs: Dunton; TC(1)
BS_GARRETT,William Garrett,,bookseller,1622,1641,Plomer (1668-1725)
BS_GARTHWAITE,Mary Garthwaite,,bookseller,1670,1670,Plomer (1668-1725); widow of Timothy  Garthwaite; refs: TC(1)
BS_GASCOIGNE,J. Gascoigne,,bookseller,1682,1682,Plomer (1668-1725); refs: TC(1)
BS_GELLIBRAND,Edward Gellibrand,,bookseller,1675,1682,Plomer (1668-1725); son of Samuel  Gellibrand; refs: TC(2)
BS_GELLIBRAND_2,John Gellibrand,,bookseller,1680,1684,Plomer (1668-1725); refs: TC(1)
BS_GELLIBRAND_3,Samuel Gellibrand,,bookseller,1637,1641,Plomer (1668-1725)
BS_GENT,Thomas Gent,,printer,1693,1778,Plomer (1668-1725); refs: DNB
BS_GERARD,J. Gerard,,bookseller,1692,1692,Plomer (1668-1725)
BS_GIBBS,J. Gibbs,,bookseller,1689,1702,Plomer (1668-1725)
BS_GIBBS_2,Robert Gibbs,,bookseller,1641,1675,Plomer (1668-1725); refs: TC(1)
BS_GIBSON,R. Gibson,,bookseller,1703,1703,Plomer (1668-1725); refs: TC(1)
BS_GIBSON_2,Robert Gibson,,bookseller,1700,1700,Plomer (1668-1725)
BS_GIFFORD,Ann Gifford,,bookseller,1722,1722,Plomer (1668-1725)
BS_GIFFORD_2,Robert Gifford,,bookseller,1689,1721,Plomer (1668-1725); refs: Dunton; TC(1)
BS_GILBERT,William Gilbert,,bookseller,1672,1674,Plomer (1668-1725); refs: TC(1)
BS_GILBERTSON,J. Gilbertson,Sun  and  Bible  on  London  Bridge,bookseller,1684,1684,Plomer (1668-1725)
BS_GILBOURNE,Percival Gilbourne,,bookseller,1697,1698,Plomer (1668-1725); refs: TC(1)
BS_GILES,Edward Giles,,bookseller,1678,1703,Plomer (1668-1725); refs: Dunton; TC(1)
BS_GILLIFLOWER,Matthew Gilliflower,,bookseller,1671,1702,Plomer (1668-1725); refs: TC(2)
BS_GODBID,Arthur Godbid,,printer,1641,1681,Plomer (1668-1725); son of William  Godbid; refs: TC(1)
BS_GODBID_2,William Godbid,,printer,1641,1656,Plomer (1668-1725)
BS_GOLDING,Edward Golding,,bookseller,1683,1691,Plomer (1668-1725); refs: TC(1)
BS_GOODALL,Goodall,Golden  Cross,bookseller,1679,1680,Plomer (1668-1725)
BS_GOODMAN,John Goodman,,bookseller,1688,1688,Plomer (1668-1725)
BS_GOODWIN,Timothy Goodwin,Queens'  Head,bookseller,1683,1720,Plomer (1668-1725); refs: Nichols; Dunton; Timperley
BS_GOSLING,Robert Gosling,,bookseller,1707,1741,Plomer (1668-1725); refs: Nichols; TC(1)
BS_GOUGE,J. Gouge,Castle,bookseller,1700,1707,Plomer (1668-1725); refs: TC(1)
BS_GOUGH,Edward Gough,,bookseller,1682,1682,Plomer (1668-1725)
BS_GRAFTON,George Grafton,,bookseller,1687,1699,Plomer (1668-1725); refs: TC(1)
BS_GRANGER,Matthew Granger,,bookseller,1690,1690,Plomer (1668-1725)
BS_GRANT,Fr. Grant,,bookseller,1668,1668,Plomer (1668-1725)
BS_GRANTHAM,J. Grantham,,printer,1650,1688,Plomer (1668-1725)
BS_GRANTHAM_2,Willlam Grantham,Crown  and  Pearl  over  against Exeter  Change,bookseller,1641,1684,Plomer (1668-1725)
BS_GRAVES,John Graves,Bible  in  Salisbury  Street  in  the  Strand,bookseller,1681,1715,Plomer (1668-1725)
BS_GRAVES_2,Thomas Graves,,bookseller,1683,1725,Plomer (1668-1725); refs: Nichols
BS_GRAY,S. Gray,,printer,1720,1720,Plomer (1668-1725)
BS_GREEN,Abraham Green,,bookseller,1682,1682,Plomer (1668-1725)
BS_GREEN_2,D. Green,,bookseller,1682,1682,Plomer (1668-1725)
BS_GREEN_3,Richard Green,,bookseller,1682,1700,Plomer (1668-1725)
BS_GREEN_4,Robert Green,Rose  and  Crown,bookseller,1674,1685,Plomer (1668-1725); refs: TC(1)
BS_GREENWOOD,Jonathan Greenwood,,bookseller,1681,1688,Plomer (1668-1725); apprentice to Mr; refs: Dunton; TC(1)
BS_GREGORY,J. Gregory,,bookseller,1690,1690,Plomer (1668-1725)
BS_GRIFFIN,Bennet Griffin,,bookseller,1638,1700,Plomer (1668-1725); son of Edward  Griffin; refs: TC(2)
BS_GRIGG,G. Grigg,,bookseller,1717,1717,Plomer (1668-1725)
BS_GROINE,Groine,Black  Horse,stationer,1669,1669,Plomer (1668-1725)
BS_GROOM,G. Groom,,printer,1705,1709,Plomer (1668-1725)
BS_GROSVENOR,Richard Grosvenor,,bookseller,1684,1691,Plomer (1668-1725)
BS_GROVER,J Ames Grover,,printer,1676,1758,Plomer (1668-1725)
BS_GROVER_2,Thomas Grover,,bookseller,1694,1710,Plomer (1668-1725); refs: Dunton
BS_GUY,John Guy,Flying  Horse,bookseller,1670,1711,Plomer (1668-1725); brother of Thomas  Guy; refs: TC(2)
BS_GUY_2,Thomas Guy,,bookseller,1644,1732,Plomer (1668-1725); refs: DNB; Nichols; Dunton; TC(1)
BS_GWILLIM,Philip Gwillim,,printer,1697,1717,Plomer (1668-1725); son of John  Gwillim
BS_HAIGHT,"W, Haight",,bookseller,1689,1689,Plomer (1668-1725)
BS_HALES,Thomas Hales,,bookseller,1670,1696,Plomer (1668-1725); refs: TC(1)
BS_HALEY,Thomas Haley,,printer,1677,1682,Plomer (1668-1725)
BS_HALL,W. Hall,Angel  in  Fleet  Street,stationer,1684,1684,Plomer (1668-1725)
BS_HALSEY,R. Halsey,,bookseller,1700,1703,Plomer (1668-1725); refs: Dunton
BS_HANCOCK,John Hancock,,bookseller,1641,1673,Plomer (1668-1725)
BS_HANCOCK_2,John Hancock,Three  Bibles  in  Pope's  Head Alley,bookseller,1673,1705,Plomer (1668-1725); son of John  Hancock; refs: Dunton; TC(1)
BS_HANNOCK,John Hannock,,bookseller,1679,1679,Plomer (1668-1725)
BS_HARBIN,Thomas Harbin,,bookseller,1693,1737,Plomer (1668-1725); refs: Timperley
BS_HARBOTTLE,R. Harbottle,,bookseller,1681,1681,Plomer (1668-1725)
BS_HARDEY,Richard Hardey,,bookseller,1677,1677,Plomer (1668-1725)
BS_HARDING,John Harding,Bible  and  Anchor,bookseller,1678,1712,Plomer (1668-1725); refs: Dunton; TC(1)
BS_HARDING_2,John Harding,,bookseller,1680,1724,Plomer (1668-1725)
BS_HAREFINCH,John Harefinch,,bookseller,1682,1690,Plomer (1668-1725); refs: TC(1)
BS_HARFORD,Robert Harford,Angel  in  Comhill,bookseller,1641,1679,Plomer (1668-1725); son of Ralph; refs: TC(2)
BS_HARFORD_2,Robert Harford,,bookseller,1675,1710,Plomer (1668-1725)
BS_HARGRAVE,D. Hargrave,,bookseller,1689,1713,Plomer (1668-1725); refs: TC(1)
BS_HARPER,Charles Harper,The  Flower  de  Luce,bookseller,1640,1709,Plomer (1668-1725); refs: Dunton; TC(1)
BS_HARRIS,Benjamin Harris,Golden  Boar's  Head  in Gracechurch  Street,bookseller,1673,1708,Plomer (1668-1725); refs: Dunton; TC(1)
BS_HARRIS_2,Elizabeth Harris,,bookseller,1699,1699,Plomer (1668-1725); widow of John  Harris; refs: Dunton
BS_HARRIS_3,F. Harris,,bookseller,1682,1682,Plomer (1668-1725)
BS_HARRIS_4,George Harris,Queen's  Head,bookseller,1703,1721,Plomer (1668-1725)
BS_HARRIS_5,John Harris,,bookseller,1685,1698,Plomer (1668-1725); refs: Dunton
BS_HARRIS_6,S. Harris,,bookseller,1703,1703,Plomer (1668-1725)
BS_HARRIS_7,"Wr, Harris",,bookseller,1690,1690,Plomer (1668-1725)
BS_HARRISON,Harrison,,bookseller,1703,1703,Plomer (1668-1725); refs: Dunton
BS_HARRISON_2,Israel Harrison,,bookseller,1673,1706,Plomer (1668-1725); refs: Dunton
BS_HARRISON_3,Thomas Harrison,White  Swan,bookseller,1683,1683,Plomer (1668-1725); apprentice to Samuel  Crouch; refs: Dunton; TC(3)
BS_HART,William Hart,,bookseller,1686,1712,Plomer (1668-1725)
BS_HARTLEY,Hartley,,bookbinder,1668,1668,Plomer (1668-1725)
BS_HARTLEY_2,John Hartley,,bookseller,1697,1709,Plomer (1668-1725); refs: TC(1)
BS_HARTLEY_3,Robert Hartley,,bookseller,1707,1709,Plomer (1668-1725); son of John  Hartley; refs: TC(1)
BS_HARTLEY_4,William Hartley,,bookseller,1703,1703,Plomer (1668-1725); refs: Dunton
BS_HATLEY,H. Hatley,Three  Flower  de  Luces,stationer,1682,1682,Plomer (1668-1725); refs: Dunton; TC(1)
BS_HAWES,William Hawes,Bible  and Rose,bookseller,1698,1709,Plomer (1668-1725); refs: Dunton
BS_HAWKINS,E. Hawkins,,bookseller,1691,1702,Plomer (1668-1725); refs: TC(2)
BS_HAWKINS_2,M. Hawkins,,bookseller,1709,1709,Plomer (1668-1725); refs: TC(1)
BS_HAYES,Walter Hayes,Cross  Daggers  in  Moorfields,bookseller,1673,1685,Plomer (1668-1725); refs: TC(2)
BS_HAYHURST,Robin Hayhurst,,printer,1689,1700,Plomer (1668-1725); refs: Dunton
BS_HAZARD,Joseph Hazard,,bookseller,1716,1716,Plomer (1668-1725)
BS_HEATHCOTE,J. Heathcote,,bookseller,1680,1725,Plomer (1668-1725)
BS_HEATHCOTE_2,William Heathcote,,printer,1718,1718,Plomer (1668-1725)
BS_HELMES,J. Helmes,King's  Head,bookseller,1700,1711,Plomer (1668-1725); refs: TC(1)
BS_HENDERSON,Alexander Henderson,King's  Head,bookseller,1671,1709,Plomer (1668-1725); succeeded by James  Collins; refs: TC(1)
BS_HEPTINSTALL,John Heptinstall,,bookseller,1671,1713,Plomer (1668-1725); refs: Nichols; Dunton
BS_HERRINGMAN,John Herringman,,bookseller,1676,1676,Plomer (1668-1725)
BS_HEWSON,R. Hewson,,bookseller,1689,1689,Plomer (1668-1725); refs: TC(1)
BS_HEYRICK,R. Heyrick,,bookseller,1686,1686,Plomer (1668-1725)
BS_HEYRICK_2,Samuel Heyrick,,bookseller,1641,1700,Plomer (1668-1725)
BS_HICKMAN,Spencer Hickman,,bookseller,1670,1672,Plomer (1668-1725); refs: TC(1)
BS_HILL,John Hill,Black Lion,bookseller,1677,1707,Plomer (1668-1725); refs: Dunton; TC(2)
BS_HILLS,Gilham Hills,,printer,1737,1737,Plomer (1668-1725); son of Henry  Hills; refs: Nichols
BS_HILLS_2,Henry Hills,,printer,1641,1713,Plomer (1668-1725); refs: DNB
BS_HILLS_3,Henry Hills,,printer,1641,1717,Plomer (1668-1725); son of Henry  Hills; refs: Nichols
BS_HILLS_4,John Hills,,bookseller,1676,1690,Plomer (1668-1725); refs: TC(2)
BS_HINCH,S. Hinch,,printer,1683,1684,Plomer (1668-1725)
BS_HINDMARSH,H. Hindmarsh,,bookseller,1696,1698,Plomer (1668-1725); succeeded by Joseph  Hindmarsh; refs: TC(1)
BS_HINDMARSH_2,Joseph Hindmarsh,,bookseller,1678,1693,Plomer (1668-1725); refs: Nichols; TC(3)
BS_HINE,R. Hine,,bookseller,1701,1701,Plomer (1668-1725)
BS_HIVE,T. Hive,Nag's  Head,bookseller,1693,1695,Plomer (1668-1725)
BS_HODGKIN,Thomas Hodgkin,next  door  to  the Dolphin  Inn,bookseller,1676,1713,Plomer (1668-1725); refs: TC(1)
BS_HODGSON,Thomas Hodgson,,bookseller,1700,1702,Plomer (1668-1725); refs: Dunton
BS_HOLFORD,John Holford,,bookseller,1681,1689,Plomer (1668-1725); refs: TC(2)
BS_HOLFORD_2,Samuel Holford,Crown  in  the  Pall  Mall,bookseller,1685,1694,Plomer (1668-1725); refs: TC(1)
BS_HOLLAND,James Holland,,bookseller,1705,1705,Plomer (1668-1725); refs: TC(1)
BS_HOLMAN,C Holman,,stationer,1692,1692,Plomer (1668-1725); refs: TC(1)
BS_HOLT,Holt,,printer,1712,1724,Plomer (1668-1725); refs: Timperley
BS_HOLT_2,Elizabeth Holt,,printer,1689,1690,Plomer (1668-1725); refs: Dunton
BS_HOLT_3,R. Holt,,printer,1671,1688,Plomer (1668-1725)
BS_HOMER,Samuel Homer,,bookseller,1671,1671,Plomer (1668-1725); refs: TC(1)
BS_HOOKE,J. Hooke,Flower  de  Luce,bookseller,1718,1725,Plomer (1668-1725)
BS_HOOKE_2,Nathaniel Hooke,King's  Arms,bookseller,1672,1672,Plomer (1668-1725)
BS_HOOLE,Samuel Hoole,Crown,stationer,1689,1689,Plomer (1668-1725); refs: Dunton; Timperley
BS_HOPE,E. Hope,,bookseller,1672,1684,Plomer (1668-1725); refs: TC(1)
BS_HOPE_2,William Hope,,bookseller,1641,1672,Plomer (1668-1725)
BS_HOPPER,George Hopper,,printer,1641,1686,Plomer (1668-1725); succeeded by Thomas  Home; refs: TC(1)
BS_HORNE,Thomas Horne,,bookseller,1686,1694,Plomer (1668-1725); refs: TC(2)
BS_HORTON,E. Horton,,printer,1671,1688,Plomer (1668-1725)
BS_HORTON_2,W. Horton,,printer,1688,1690,Plomer (1668-1725)
BS_HOTHAM,Matthew Hotham,,bookseller,1704,1725,Plomer (1668-1725)
BS_HOW,Job How,Seven  Stars,bookseller,1679,1709,Plomer (1668-1725); refs: Dunton; TC(1)
BS_HOWE,Joseph Howe,,bookseller,1689,1689,Plomer (1668-1725)
BS_HOWELL,Mary Howell,,bookseller,1684,1724,Plomer (1668-1725); widow of Thomas  Howkins
BS_HOYLE,Samuel Hoyle,,stationer,1666,1685,Plomer (1668-1725)
BS_HUDDLESTON,George Huddleston,Black-a-Moors  Head,bookseller,1697,1698,Plomer (1668-1725)
BS_HUDGEBUT,John Hudgebut,,stationer,1680,1699,Plomer (1668-1725); refs: TC(2)
BS_HUGHES,R. Hughes,,bookseller,1684,1692,Plomer (1668-1725); refs: TC(1)
BS_HUMPHERIES,Richard Humpheries,,bookseller,1690,1690,Plomer (1668-1725)
BS_HUMPHREYS,J. Humphreys,,printer,1697,1724,Plomer (1668-1725); refs: Timperley
BS_HUNT,Richard Hunt,,bookseller,1683,1699,Plomer (1668-1725); refs: TC(1)
BS_HUNT_2,Richard Hunt,,bookseller,1685,1685,Plomer (1668-1725)
BS_HUNT_3,William Hunt,,stationer,1688,1688,Plomer (1668-1725)
BS_HUNTER,Hunter,,printer,1724,1724,Plomer (1668-1725)
BS_HURLOCK,Benjamin Hurlock,,bookseller,1641,1672,Plomer (1668-1725); son of George  Hurlock; refs: TC(1)
BS_HURLOCK_2,Elizabeth Hurlock,,bookseller,1673,1673,Plomer (1668-1725); refs: TC(1)
BS_HUSBAND,Richakd Husband,,stationer,1680,1680,Plomer (1668-1725); refs: TC(1)
BS_HUSSEY,Christopher Hussey,Flower de  luce,bookseller,1678,1705,Plomer (1668-1725); refs: Dunton; TC(1)
BS_HUTCHINSON,Leonard Hutchinson,,stationer,1687,1687,Plomer (1668-1725)
BS_HYTHER,J Onas Hyther,,bookseller,1668,1682,Plomer (1668-1725)
BS_ILIVE,"T, Ilive",,printer,1724,1724,Plomer (1668-1725); refs: Nichols
BS_ILLIDGE,Samuel Illidge,,bookseller,1716,1716,Plomer (1668-1725)
BS_INGHALL,William Inghall,,bookseller,1681,1681,Plomer (1668-1725)
BS_INNYS,William Innys,Prince's  Arms,bookseller,1711,1732,Plomer (1668-1725); refs: Nichols; TC(1)
BS_ISTED,J. Isted,,bookseller,1672,1725,Plomer (1668-1725); refs: Nichols; TC(2)
BS_JACOB,Wnxi Am Jacob,Btack  Swan  near  Bernards-Inn Gate,bookseller,1670,1680,Plomer (1668-1725); refs: TC(1)
BS_JACKSON,David Jackson,Bible  and  Three  Crowns,bookseller,1700,1700,Plomer (1668-1725); refs: Dunton
BS_JACKSON_2,N. Jackson,,bookseller,1693,1693,Plomer (1668-1725)
BS_JAKIN,Ellen Jakin,,stationer,1680,1680,Plomer (1668-1725); refs: TC(1)
BS_JAMES,George James,,printer,1712,1735,Plomer (1668-1725); brother of John; succeeded by Alderman  Barber; refs: Nichols
BS_JAMES_2,Thomas James,,type-founder,1710,1736,Plomer (1668-1725)
BS_JANEWAY,Richard Janeway,Queen's  Head  Alley,bookseller,1680,1703,Plomer (1668-1725); refs: Dunton; TC(2)
BS_JANEWAY_2,Richard Janeway,,printer,1698,1724,Plomer (1668-1725); son of Richard  Janeway; refs: Nichols; Dunton
BS_JAQUES,Joseph Jaques,,bookseller,1712,1712,Plomer (1668-1725)
BS_JAUNCY,T. Jauncy,,bookseller,1691,1720,Plomer (1668-1725); refs: TC(2)
BS_JEFFERY,Edmund Jeffery,,bookseller,1699,1729,Plomer (1668-1725); succeeded by Wm
BS_JENKINSON,Robert Jenkinson,,bookseller,1690,1690,Plomer (1668-1725)
BS_JENOUR,Matthew Jenour,,printer,1707,1724,Plomer (1668-1725); refs: Nichols
BS_JOHNSON,Benjamin Johnson,,bookseller,1658,1703,Plomer (1668-1725); apprentice to Mr; brother of Michael; refs: Dunton; TC(1)
BS_JOHNSON_2,J. Johnson,,printer,1700,1700,Plomer (1668-1725)
BS_JOHNSON_3,J Ames Johnson,,bookseller,1689,1703,Plomer (1668-1725)
BS_JOHNSON_4,Michael Johnson,,bookseller,1656,1731,Plomer (1668-1725); son of William  Johnson; brother of Benjamin
BS_JOHNSON_5,R. Johnson,,printer,1682,1682,Plomer (1668-1725)
BS_JOHNSON_6,Robert Johnson,,bookseller,1701,1701,Plomer (1668-1725)
BS_JONATHAN,Edwin Jonathan,,bookseller,1672,1678,Plomer (1668-1725)
BS_JONES,Arthur Jones,,bookseller,1684,1686,Plomer (1668-1725); refs: TC(1)
